name,image,diet,course,time,ingredients,instructions
"Butter Chicken","https://www.example.com/butterchicken.jpg","Non-Veg","Main Course",50,"Chicken, Butter, Tomatoes, Onions, Ginger-Garlic Paste, Cream, Yogurt, Garam Masala, Turmeric, Chili Powder, Coriander Powder, Cumin Powder, Kasuri Methi","1. Marinate chicken with yogurt and spices for at least 30 minutes. 2. Blend onions, tomatoes, ginger-garlic paste into a smooth puree. 3. Heat butter in a pan, saute the puree until fragrant. 4. Add marinated chicken and cook until browned. 5. Pour in cream, add Kasuri Methi, and simmer until the sauce thickens. Serve with naan or rice."
"Chicken Tikka Masala","https://www.example.com/chickentikkamasala.jpg","Non-Veg","Main Course",45,"Chicken, Yogurt, Onions, Tomato Puree, Ginger-Garlic Paste, Cream, Garam Masala, Turmeric, Chili Powder, Coriander Powder, Cumin Powder, Kasuri Methi","1. Marinate chicken in yogurt and spices for at least 2 hours. 2. Grill or pan-fry the marinated chicken until cooked through. 3. In a pan, sauté onions, ginger-garlic paste, and tomato puree. 4. Add cream, spices, and Kasuri Methi. 5. Simmer until the sauce thickens. 6. Add the cooked chicken and serve with naan or rice."
"Samosa","https://www.example.com/samosa.jpg","Veg/Non-Veg","Snack",45,"Flour, Oil, Water, Potatoes, Peas, Cumin Seeds, Coriander Powder, Turmeric Powder, Chili Powder, Oil for deep frying","1. Make a dough with flour, oil, and water. 2. Prepare the filling with boiled potatoes, peas, and spices. 3. Roll out small portions of dough and fill with the potato mixture. 4. Shape into triangles and deep fry until golden brown. Serve with chutney."
"Biryani","https://www.example.com/biryani.jpg","Veg/Non-Veg","Main Course",60,"Basmati Rice, Vegetables or Chicken or Mutton, Yogurt, Onions, Tomatoes, Ginger-Garlic Paste, Biryani Masala, Turmeric, Chili Powder, Saffron, Ghee, Mint Leaves, Coriander Leaves","1. Marinate protein (if using) with yogurt and spices. 2. Parboil basmati rice with spices. 3. Layer marinated protein, fried onions, and rice in a large pot. 4. Add saffron-infused milk and ghee. 5. Cook on low heat (dum) until the flavors meld. Garnish with fresh herbs."
"Palak Paneer","https://www.example.com/palakpaneer.jpg","Veg","Main Course",40,"Paneer, Spinach, Onions, Tomatoes, Ginger-Garlic Paste, Cream, Cumin Seeds, Coriander Powder, Turmeric Powder, Green Chilies","1. Blanch and puree spinach. 2. Sauté onions, tomatoes, ginger-garlic paste, and spices. 3. Add the spinach puree and cream. 4. Simmer until the gravy thickens. 5. Add paneer cubes and cook for a few minutes. Serve with roti or naan."
"Chana Masala","https://www.example.com/chana-masala.jpg","Veg","Main Course",60,"Chickpeas, Onions, Tomatoes, Ginger-Garlic Paste, Chana Masala Powder, Turmeric, Chili Powder, Coriander Powder, Green Chilies, Cilantro","1. Soak chickpeas overnight and pressure cook until soft. 2. Sauté onions, tomatoes, ginger-garlic paste, and spices. 3. Add cooked chickpeas and simmer until flavors blend. 4. Garnish with cilantro and serve with Bhatura or rice."
"Dal Makhani","https://www.example.com/dalmakhani.jpg","Veg","Main Course",90,"Whole Urad Dal, Kidney Beans, Butter, Cream, Onions, Tomatoes, Ginger-Garlic Paste, Garam Masala, Turmeric, Chili Powder, Kasuri Methi","1. Soak lentils and beans overnight. 2. Pressure cook with butter and cream until very soft. 3. Sauté onions, tomatoes, ginger-garlic paste, and spices. 4. Add the cooked dal and beans, simmer for 30 minutes. 5. Garnish with Kasuri Methi and butter. Serve with naan or rice."
"Aloo Gobi","https://www.example.com/aloo-gobi.jpg","Veg","Main Course",35,"Potatoes, Cauliflower, Onions, Tomatoes, Ginger-Garlic Paste, Turmeric, Chili Powder, Coriander Powder, Cumin Powder, Green Chilies, Cilantro","1. Cut potatoes and cauliflower into florets. 2. Sauté cumin seeds, onions, tomatoes, ginger-garlic paste, and spices. 3. Add potatoes and cauliflower. 4. Cook until tender. Garnish with cilantro. Serve with roti."
"Baingan Bharta","https://www.example.com/baingan-bharta.jpg","Veg","Main Course",45,"Eggplant, Onions, Tomatoes, Ginger-Garlic Paste, Green Chilies, Cumin Seeds, Coriander Powder, Turmeric Powder, Chili Powder, Cilantro","1. Roast eggplant directly on flame or in an oven until charred and cooked. 2. Peel and mash the eggplant. 3. Sauté onions, tomatoes, ginger-garlic paste, and spices. 4. Add mashed eggplant and cook. Garnish with cilantro. Serve with roti."
"Masala Dosa","https://www.example.com/masala-dosa.jpg","Veg","Breakfast",45,"Rice, Urad Dal, Potatoes, Onions, Mustard Seeds, Curry Leaves, Chana Masala, Turmeric Powder, Oil","1. Soak rice and lentils separately for 4-5 hours. 2. Grind into a smooth batter and ferment overnight. 3. Prepare potato masala by sauteing onions, mustard seeds, curry leaves with spices and boiled potatoes. 4. Spread dosa batter thinly on a hot griddle. 5. Place potato masala in the center and fold. Serve hot with sambar and chutney."
"Idli Sambar","https://www.example.com/idli-sambar.jpg","Veg","Breakfast",45,"Rice, Urad Dal, Vegetables, Tamarind Pulp, Sambar Powder, Mustard Seeds, Curry Leaves","1. Soak rice and lentils for 4-5 hours, then grind to a smooth batter. Ferment overnight. 2. Steam batter in idli molds for 10-15 minutes. 3. Prepare sambar by cooking vegetables, tamarind pulp, and spices together. 4. Serve hot idlis with sambar and chutney."
"Vada Pav","https://www.example.com/vadapav.jpg","Veg","Snack",30,"Potatoes, Gram Flour, Breadcrumbs, Turmeric Powder, Chili Powder, Green Chilies, Pav, Chutneys","1. Make a batter with gram flour, spices, and water. 2. Mash boiled potatoes with green chilies and spices. 3. Dip potato mixture in batter and deep fry until golden. 4. Slit pav (buns) and spread chutney. 5. Place the fried vada inside the bun. Serve hot."
"Pav Bhaji","https://www.example.com/pavbhaji.jpg","Veg","Main Course",45,"Pav, Potatoes, Cauliflower, Green Peas, Tomatoes, Onions, Ginger-Garlic Paste, Pav Bhaji Masala, Butter, Coriander Leaves","1. Mash boiled potatoes, cauliflower, and peas. 2. Sauté onions, ginger-garlic paste, and spices. 3. Add mashed vegetables and Pav Bhaji masala. 4. Cook until fragrant. Serve hot with buttered and toasted pav."
"Chole Bhature","https://www.example.com/chole-bhature.jpg","Veg","Main Course",90,"Chickpeas, Onions, Tomatoes, Ginger-Garlic Paste, Chole Masala, Turmeric, Chili Powder, Flour, Yogurt, Oil","1. Soak chickpeas overnight and pressure cook with spices. 2. Make a dough for Bhatura and let it rise. 3. Prepare the Chole by cooking onions, tomatoes, ginger-garlic paste with cooked chickpeas and spices. 4. Deep fry Bhatura until fluffy. Serve hot with chole."
"Gulab Jamun","https://www.example.com/gulab-jamun.jpg","Veg","Dessert",45,"Milk Powder, All-Purpose Flour, Sugar, Water, Rose Water, Cardamom Powder, Ghee","1. Make a dough with milk powder, flour, and ghee. 2. Shape into small balls. 3. Fry in ghee until golden brown. 4. Make sugar syrup with sugar, water, rose water, and cardamom. 5. Soak fried balls in sugar syrup until they puff up and absorb the syrup."
"Jalebi","https://www.example.com/jalebi.jpg","Veg","Dessert",60,"All-Purpose Flour, Yogurt, Sugar, Water, Saffron Strands, Cardamom Pods, Oil for deep frying","1. Make a batter with flour, yogurt, and water. Let it ferment for a few hours. 2. Make sugar syrup with sugar, water, saffron strands, and cardamom. 3. Pour batter into a piping bag or ziplock bag with a small hole. 4. Make spiral shapes of batter in hot oil and fry until crispy. 5. Dip hot jalebis in sugar syrup. Serve hot or cold."
"Rasgulla","https://www.example.com/rasgulla.jpg","Veg","Dessert",60,"Chenna, Sugar, Water, Rose Water, Cardamom Powder","1. Knead chenna until smooth. 2. Make small balls from the chenna. 3. Prepare sugar syrup with sugar, water, rose water, and cardamom. 4. Boil the chenna balls in the sugar syrup until they double in size. Serve chilled."
"Kheer","https://www.example.com/kheer.jpg","Veg","Dessert",30,"Rice, Milk, Sugar, Nuts, Cardamom Powder, Saffron Strands","1. Rinse and soak rice for 15 minutes. 2. Boil milk in a pot. 3. Add rice, sugar, cardamom, and saffron to the milk. 4. Cook on low heat, stirring frequently, until the rice is cooked and the kheer thickens. 5. Garnish with chopped nuts. Serve hot or cold."
"Lassi","https://www.example.com/lassi.jpg","Veg","Beverage",10,"Yogurt, Water, Sugar or Salt, Ice Cubes, Mango, Rose Water, Cardamom","1. Blend yogurt, water, sugar/salt, and ice until smooth and frothy. 2. For variations, add mango pulp, rose water, or cardamom powder while blending. Serve chilled."
"Masala Chai","https://www.example.com/masalachai.jpg","Veg","Beverage",15,"Water, Milk, Sugar, Tea Leaves, Ginger, Cardamom Pods, Cinnamon Stick, Cloves, Black Peppercorns","1. Crush ginger, cardamom, cinnamon, cloves, and peppercorns lightly. 2. Boil water, add crushed spices and tea leaves. 3. Add milk and sugar, boil for a few minutes until you get desired color and strength. 4. Strain and serve hot."
"Aloo Paratha","https://www.example.com/aloo-paratha.jpg","Veg","Breakfast",30,"Wheat Flour, Boiled Potatoes, Cumin Seeds, Coriander Powder, Turmeric Powder, Garam Masala, Ghee or Oil","1. Make a dough with wheat flour and water. 2. Mash boiled potatoes and mix with spices. 3. Roll out small portions of dough, fill with potato mixture, and flatten. 4. Cook on a hot griddle with ghee/oil until golden brown and crispy."
"Gobi Paratha","https://www.example.com/gobi-paratha.jpg","Veg","Breakfast",30,"Wheat Flour, Grated Cauliflower, Cumin Seeds, Coriander Powder, Turmeric Powder, Green Chilies, Ghee or Oil","1. Make a dough with wheat flour and water. 2. Grate cauliflower and squeeze out excess water. 3. Mix grated cauliflower with spices and herbs. 4. Stuff the dough with this mixture, roll out, and cook on a hot griddle with ghee/oil until golden brown."
"Paneer Paratha","https://www.example.com/paneer-paratha.jpg","Veg","Breakfast",30,"Wheat Flour, Grated Paneer, Cumin Seeds, Coriander Powder, Turmeric Powder, Chopped Onions, Green Chilies, Ghee or Oil","1. Make a dough with wheat flour and water. 2. Mix grated paneer with spices, onions, and green chilies. 3. Fill the dough with this mixture, roll out, and cook on a hot griddle with ghee/oil until golden brown and crispy."
"Poori Chana Masala","https://www.example.com/poori-chana-masala.jpg","Veg","Main Course",60,"Wheat Flour, Oil, Water, Chickpeas, Onions, Tomatoes, Ginger-Garlic Paste, Cumin Seeds, Coriander Powder, Turmeric Powder, Garam Masala, Oil","1. Make a dough for poori (deep-fried puffed bread). 2. Prepare chana masala (spicy chickpea curry). 3. Fry pooris in hot oil until puffed and golden. 4. Serve hot pooris with chana masala."
"Rajma Chawal","https://www.example.com/rajma-chawal.jpg","Veg","Main Course",60,"Kidney Beans, Onions, Tomatoes, Ginger-Garlic Paste, Cumin Seeds, Coriander Powder, Turmeric Powder, Red Chilli Powder, Cream, Rice","1. Soak kidney beans overnight. 2. Pressure cook the beans with water and salt until soft. 3. In a pan, sauté onions, tomatoes, ginger-garlic paste, and spices. 4. Add cooked beans and simmer until the flavors meld. 5. Add cream and simmer for a few more minutes. 6. Serve hot with steamed rice."
"Kadai Paneer","https://www.example.com/kadai-paneer.jpg","Veg","Main Course",40,"Paneer, Onions, Bell Peppers, Tomatoes, Ginger-Garlic Paste, Green Chilies, Cream, Coriander Seeds, Cumin Seeds, Kasuri Methi, Red Chili Powder","1. Cut paneer into cubes and lightly fry or grill them. 2. In a kadai (wok), sauté onions, bell peppers, and ginger-garlic paste. 3. Add chopped tomatoes, green chilies, and ground spices. 4. Simmer until the gravy thickens. 5. Add the paneer cubes and cream, and cook for a few minutes. Serve hot with roti or naan."
"Malai Kofta","https://www.example.com/malai-kofta.jpg","Veg","Main Course",50,"Potatoes, Paneer, Cream, Cashew Nuts, Raisins, Garam Masala, Cardamom Powder, Oil for deep frying","1. Boil and mash potatoes. 2. Mix mashed potatoes with crumbled paneer, spices, and make small balls. 3. Deep fry the balls until golden brown. 4. Make a creamy gravy with onions, tomatoes, cashew paste, and spices. 5. Add the fried koftas to the gravy and simmer. Serve hot with naan or jeera rice."
"Navratan Korma","https://www.example.com/navratan-korma.jpg","Veg","Main Course",45,"Mixed Vegetables, Paneer, Yogurt, Cream, Cashew Nuts, Raisins, Garam Masala, Cardamom Powder, Oil","1. Blanch the vegetables. 2. Fry paneer (optional) until lightly golden. 3. Make a creamy gravy with onions, tomatoes, cashew paste, yogurt, and spices. 4. Add the blanched vegetables, fried paneer, and simmer until the flavors blend. 5. Garnish with cream, raisins, and chopped nuts. Serve hot with roti, naan, or jeera rice."
"Bhindi Masala","https://www.example.com/bhindi-masala.jpg","Veg","Main Course",35,"Okra, Onions, Tomatoes, Ginger-Garlic Paste, Turmeric Powder, Red Chilli Powder, Coriander Powder, Cumin Powder, Oil, Fresh Coriander Leaves","1. Wash and pat dry the okra. Cut off the top and tail ends and cut into 1-inch pieces. 2. Heat oil in a pan, add okra and fry until golden and crispy. Keep aside. 3. In the same pan, add cumin seeds, chopped onions, ginger-garlic paste, and sauté. 4. Add chopped tomatoes, turmeric powder, red chili powder, and coriander powder. Cook until the oil separates. 5. Add the fried okra, salt and mix well. Garnish with fresh coriander leaves and serve hot with roti or rice."
"Aloo Matar","https://www.example.com/aloo-matar.jpg","Veg","Main Course",30,"Potatoes, Green Peas, Onions, Tomatoes, Ginger-Garlic Paste, Turmeric Powder, Red Chilli Powder, Coriander Powder, Garam Masala, Oil, Fresh Coriander Leaves","1. Peel and cube the potatoes. 2. In a pan, heat oil and add cumin seeds, chopped onions, ginger-garlic paste and sauté. 3. Add chopped tomatoes, turmeric powder, red chili powder, and coriander powder. 4. Add potatoes, green peas, and salt. Cook until potatoes are tender. 5. Garnish with garam masala and fresh coriander leaves. Serve hot with roti or rice."
