name,image,diet,course,time,ingredients,instructions
"Dal Tadka","https://www.example.com/dal-tadka.jpg","Veg","Main Course",30,"Toor Dal, Water, Turmeric Powder, Salt, Ghee or Oil, Mustard Seeds, Cumin Seeds, Dried Red Chilies, Curry Leaves, Chopped Onions, Chopped Tomatoes, Green Chilies, Garlic, Red Chilli Powder, Garam Masala, Fresh Coriander Leaves","1. Wash and cook toor dal with water, turmeric powder, and salt in a pressure cooker. 2. In a separate pan, heat ghee/oil and add mustard seeds, cumin seeds, dried red chilies, and curry leaves. 3. Once they splutter, add chopped onions, chopped tomatoes, green chilies, minced garlic, and red chili powder. 4. Pour the cooked dal into the pan and mix well. 5. Simmer for a few minutes. 6. Garnish with garam masala, fresh coriander leaves, and a dollop of ghee/oil. Serve hot with rice or roti."
"Vegetable Pulao","https://www.example.com/vegetable-pulao.jpg","Veg","Main Course",45,"Basmati Rice, Mixed Vegetables, Onions, Ginger-Garlic Paste, Bay Leaf, Cinnamon Stick, Cardamom Pods, Cloves, Green Cardamoms, Cumin Seeds, Coriander Powder, Turmeric Powder, Ghee or Oil, Salt, Fresh Coriander Leaves","1. Rinse and soak basmati rice for 30 minutes. 2. Heat ghee/oil in a pot and add whole spices (bay leaf, cinnamon, cardamom, cloves, green cardamoms, and cumin seeds). 3. Add chopped onions, ginger-garlic paste and sauté until fragrant. 4. Add mixed vegetables and sauté for a few minutes. 5. Add soaked rice and sauté for 2 minutes. 6. Pour water and add salt. 7. Cover and cook on low heat until rice is cooked and water is absorbed. 8. Garnish with fresh coriander leaves. Serve hot with raita or curry."
"Upma","https://www.example.com/upma.jpg","Veg","Breakfast",20,"Semolina, Oil or Ghee, Mustard Seeds, Chana Dal, Urad Dal, Curry Leaves, Green Chilies, Ginger, Onions, Vegetables, Water, Salt, Lemon Juice, Fresh Coriander Leaves","1. Heat oil/ghee in a pan and add mustard seeds, chana dal, urad dal, curry leaves. 2. Once they splutter, add chopped green chilies, grated ginger, and onions. 3. Add optional vegetables and saute. 4. Add semolina and roast it for 2-3 minutes. 5. Pour water, add salt and mix well. 6. Cover and cook on low heat until the water is absorbed and upma is cooked. 7. Squeeze lemon juice, garnish with coriander leaves and serve hot with chutney or podi."
"Poha","https://www.example.com/poha.jpg","Veg","Breakfast",20,"Flattened Rice Flakes, Oil, Mustard Seeds, Cumin Seeds, Curry Leaves, Green Chilies, Onions, Potatoes, Turmeric Powder, Sugar, Salt, Lemon Juice, Fresh Coriander Leaves, Peanuts","1. Rinse poha in water and drain. 2. Heat oil and add mustard seeds, cumin seeds, curry leaves, chopped green chilies. 3. Add chopped onions, diced potatoes and saute. 4. Add turmeric powder, sugar, salt, and mix well. 5. Add the soaked poha and gently mix everything. 6. Cover and cook for 2-3 minutes. 7. Add lemon juice, garnish with coriander leaves, roasted peanuts. Serve hot with chutney."
"Chicken 65","https://www.example.com/chicken-65.jpg","Non-Veg","Appetizer",30,"Chicken, Yogurt, Ginger-Garlic Paste, Red Chilli Powder, Turmeric Powder, Curry Leaves, Lemon Juice, Cornstarch, Rice Flour, Oil for deep frying, Salt, Pepper","1. Marinate chicken with yogurt, ginger-garlic paste, red chili powder, turmeric powder, curry leaves, lemon juice, salt, and pepper. 2. Add cornstarch and rice flour to the marinade and mix well. 3. Heat oil for deep frying. 4. Deep fry the marinated chicken pieces until golden brown and crispy. 5. Garnish with curry leaves. Serve hot."
"Fish Fry","https://www.example.com/fish-fry.jpg","Non-Veg","Appetizer",30,"Fish Fillets, Turmeric Powder, Red Chili Powder, Lemon Juice, Ginger-Garlic Paste, Rice Flour, Oil for Shallow Frying, Salt, Pepper, Curry Leaves","1. Marinate fish fillets with turmeric powder, red chili powder, lemon juice, ginger-garlic paste, salt, and pepper. 2. Coat the marinated fish with rice flour. 3. Heat oil in a pan and shallow fry the fish fillets until golden brown and crispy. 4. Garnish with curry leaves and serve hot."
"Gobi Manchurian","https://www.example.com/gobi-manchurian.jpg","Veg","Appetizer",35,"Cauliflower, All-Purpose Flour, Cornstarch, Ginger-Garlic Paste, Soy Sauce, Vinegar, Green Chilies, Spring Onions, Sugar, Salt, Oil for deep frying","1. Cut cauliflower into florets and blanch them. 2. Make a batter with all-purpose flour, cornstarch, ginger-garlic paste, salt, and water. 3. Dip cauliflower florets in the batter and deep fry until golden and crispy. 4. In another pan, sauté chopped ginger-garlic, green chilies, and spring onions. 5. Add soy sauce, vinegar, sugar, and salt. 6. Add the fried cauliflower florets and toss to coat. Serve hot."
"Paneer Chilli","https://www.example.com/paneer-chilli.jpg","Veg","Appetizer",30,"Paneer, All-Purpose Flour, Cornstarch, Ginger-Garlic Paste, Soy Sauce, Vinegar, Green Chilies, Capsicum, Onions, Spring Onions, Sugar, Salt, Oil for deep frying","1. Cut paneer into cubes and lightly fry them. 2. Make a batter with all-purpose flour, cornstarch, ginger-garlic paste, salt, and water. 3. Dip paneer cubes in the batter and deep fry until golden and crispy. 4. In another pan, sauté chopped onions, capsicum, ginger-garlic, and green chilies. 5. Add soy sauce, vinegar, sugar, and salt. 6. Add the fried paneer cubes and toss to coat. Serve hot with spring onions."
"Chicken Biryani Hyderabadi","https://www.example.com/chicken-biryani-hyderabadi.jpg","Non-Veg","Main Course",75,"Chicken, Basmati Rice, Yogurt, Onions, Tomatoes, Green Chilies, Ginger-Garlic Paste, Mint Leaves, Coriander Leaves, Cinnamon, Cloves, Cardamom, Bay Leaf, Star Anise, Black Peppercorns, Turmeric Powder, Red Chilli Powder, Ghee or Oil, Saffron, Milk","1. Marinate chicken with yogurt, ginger-garlic paste, green chilies, mint leaves, coriander leaves, and spices. 2. Partially cook basmati rice with salt and whole spices. 3. Layer marinated chicken and parboiled rice in a large pot, adding fried onions, saffron-infused milk, and ghee/oil. 4. Cook on low heat (dum) until rice is fully cooked and flavors are infused."
"Mutton Biryani Lucknowi","https://www.example.com/mutton-biryani-lucknowi.jpg","Non-Veg","Main Course",90,"Mutton, Basmati Rice, Yogurt, Onions, Tomatoes, Ginger-Garlic Paste, Saffron, Milk, Kewra Water, Rose Water, Green Cardamoms, Black Cardamoms, Cloves, Cinnamon, Bay Leaf, Mace, Nutmeg, Black Peppercorns, Red Chili Powder, Ghee or Oil, Fresh Mint Leaves, Fresh Coriander Leaves, Fried Onions","1. Marinate mutton with yogurt, ginger-garlic paste, and spices. 2. Partially cook basmati rice with salt and whole spices. 3. Layer marinated mutton and parboiled rice in a large pot, adding saffron-infused milk, kewra water, rose water, ghee/oil, and fried onions. 4. Cook on low heat (dum) until rice is fully cooked, mutton is tender, and flavors are infused. Garnish with fresh mint and coriander leaves."
"Veg Biryani","https://www.example.com/veg-biryani.jpg","Veg","Main Course",60,"Basmati Rice, Mixed Vegetables, Yogurt, Onions, Tomatoes, Ginger-Garlic Paste, Mint Leaves, Coriander Leaves, Biryani Masala, Turmeric Powder, Red Chilli Powder, Ghee or Oil, Saffron, Milk","1. Parboil basmati rice with salt and whole spices. 2. Sauté vegetables separately with ginger-garlic paste, turmeric powder, and red chili powder. 3. Layer sautéed vegetables, parboiled rice, fried onions, saffron-infused milk, ghee/oil, and fresh herbs in a large pot. 4. Cook on low heat (dum) until rice is fully cooked and flavors are infused."
"Mutton Rogan Josh","https://www.example.com/mutton-rogan-josh.jpg","Non-Veg","Main Course",90,"Mutton, Yogurt, Onions, Oil or Ghee, Ginger-Garlic Paste, Kashmiri Red Chili Powder, Cloves, Green Cardamoms, Black Cardamoms, Bay Leaf, Cinnamon Stick, Water, Salt, Dried Ginger Powder, Fennel Powder, Asafoetida, Dried Mint Leaves, Fresh Coriander Leaves","1. Marinate mutton with yogurt, ginger-garlic paste, Kashmiri red chili powder, and salt. 2. Heat oil/ghee in a pot. Add whole spices (cloves, cardamom, bay leaf, cinnamon) and saute. 3. Add chopped onions and cook until golden brown. 4. Add the marinated mutton and cook until browned. 5. Add water, cover, and cook until mutton is tender. 6. Add dried ginger powder, fennel powder, asafoetida, and dried mint leaves. Simmer for a few minutes. 7. Garnish with fresh coriander leaves and serve hot with rice or roti."
"Rogan Josh (Mushroom/Paneer)","https://www.example.com/rogan-josh-veg.jpg","Veg","Main Course",45,"Mushrooms or Paneer, Yogurt, Onions, Oil or Ghee, Ginger-Garlic Paste, Kashmiri Red Chili Powder, Cloves, Green Cardamoms, Black Cardamoms, Bay Leaf, Cinnamon Stick, Water, Salt, Dried Ginger Powder, Fennel Powder, Asafoetida, Dried Mint Leaves, Fresh Coriander Leaves","1. If using paneer, cut into cubes and lightly fry. If using mushrooms, clean and slice them. 2. Heat oil/ghee in a pot. Add whole spices (cloves, cardamom, bay leaf, cinnamon) and saute. 3. Add chopped onions and cook until golden brown. 4. Add the mushrooms/paneer and cook for a few minutes. 5. Add water, cover, and cook until mushrooms/paneer are tender. 6. Add dried ginger powder, fennel powder, asafoetida, and dried mint leaves. Simmer for a few minutes. 7. Garnish with fresh coriander leaves and serve hot with rice or roti."
"Malai Methi Matar","https://www.example.com/malai-methi-matar.jpg","Veg","Main Course",35,"Fresh Fenugreek Leaves, Green Peas, Onions, Tomatoes, Ginger-Garlic Paste, Cream, Milk, Cashew Nuts, Green Cardamom, Cloves, Cinnamon, Ghee or Oil, Salt, Sugar, Fresh Coriander Leaves","1. Blanch the fenugreek leaves (methi) and puree them. 2. Grind cashew nuts into a smooth paste. 3. Heat ghee/oil in a pan, add cloves, green cardamom, and cinnamon. 4. Add chopped onions, ginger-garlic paste and saute. 5. Add chopped tomatoes, turmeric powder, and cook until oil separates. 6. Add the blanched green peas. 7. Add the fenugreek leaves puree, cashew paste, cream, and milk. 8. Simmer until the gravy thickens. 9. Add salt, sugar, and mix well. 10. Garnish with fresh coriander leaves and serve hot with roti, naan, or rice."
"Saag Paneer","https://www.example.com/saag-paneer.jpg","Veg","Main Course",40,"Spinach, Mustard Greens, Bathua Leaves, Paneer, Onions, Tomatoes, Ginger-Garlic Paste, Green Chilies, Cream, Ghee or Oil, Cumin Seeds, Coriander Powder, Turmeric Powder, Red Chili Powder, Garam Masala, Salt, Fresh Coriander Leaves","1. Blanch spinach, mustard greens, and bathua leaves (if using) and puree them. 2. Cut paneer into cubes and lightly fry or grill. 3. Heat ghee/oil in a pan and add cumin seeds. 4. Add chopped onions, ginger-garlic paste, chopped green chilies and sauté. 5. Add chopped tomatoes, turmeric powder, red chili powder, and coriander powder. 6. Add the green puree, cream, and salt. 7. Simmer until the gravy thickens. 8. Add the paneer cubes and mix gently. Garnish with garam masala, fresh coriander leaves, and a dollop of cream. Serve hot with roti, naan, or rice."
"Kadhi Pakora","https://www.example.com/kadhi-pakora.jpg","Veg","Main Course",45,"Gram Flour, Yogurt, Turmeric Powder, Red Chilli Powder, Oil or Ghee, Curry Leaves, Fenugreek Seeds, Mustard Seeds, Asafoetida, Coriander Powder, Cumin Powder, Salt, Sugar, Water, Gram Flour, Onions, Green Chilies, Coriander Leaves, Turmeric Powder, Red Chilli Powder, Salt, Oil for deep frying","1. Make pakoras by mixing gram flour, chopped onions, green chilies, coriander leaves, spices, and water. Deep fry the pakoras until golden brown. 2. For the kadhi, whisk together gram flour, yogurt, turmeric powder, red chili powder, and water until smooth. 3. Heat oil/ghee in a pan, add curry leaves, fenugreek seeds, mustard seeds, and asafoetida. 4. Add the yogurt-gram flour mixture and cook, stirring continuously, until it comes to a boil and thickens. 5. Add the fried pakoras to the kadhi. 6. Season with salt, sugar, and simmer for a few minutes. 7. Garnish with coriander leaves and serve hot with rice or roti."
"Aloo Tikki","https://www.example.com/aloo-tikki.jpg","Veg","Snack",30,"Boiled Potatoes, Bread Crumbs, Cumin Powder, Coriander Powder, Red Chili Powder, Garam Masala, Green Chilies, Coriander Leaves, Salt, Oil for shallow frying","1. Mash boiled potatoes. 2. Mix mashed potatoes with bread crumbs, spices, chopped green chilies, coriander leaves, and salt. 3. Shape the mixture into round patties (tikkis). 4. Heat oil in a pan and shallow fry the tikkis until golden brown and crispy. 5. Serve hot with chutney or as a chaat item."
"Dahi Bhalla","https://www.example.com/dahi-bhalla.jpg","Veg","Snack",45,"Urad Dal, Moong Dal, Yogurt, Tamarind Chutney, Green Chutney, Roasted Cumin Powder, Red Chili Powder, Chaat Masala, Salt, Chopped Coriander Leaves, Sev","1. Soak urad dal and moong dal for 4-5 hours. 2. Grind the lentils into a smooth batter. 3. Heat oil and deep fry small portions of the batter until golden brown and crispy (bhallas). 4. Soak the fried bhallas in water for 10-15 minutes, then gently squeeze out the water. 5. Whisk yogurt until smooth. 6. Place the bhallas in a serving dish. Top with whisked yogurt, tamarind chutney, green chutney, roasted cumin powder, red chili powder, chaat masala, salt, chopped coriander leaves, and sev. Serve chilled."
"Pani Puri","https://www.example.com/pani-puri.jpg","Veg","Snack",45,"Semolina, Flour, Oil, Water, Boiled Potatoes, Boiled Chickpeas, Chopped Onions, Tamarind Chutney, Mint-Coriander Chutney, Pani Puri Masala, Black Salt, Chaat Masala","1. Make a dough with semolina, flour, oil, and water. 2. Roll out small puris and deep-fry them until puffed and crispy. 3. Prepare the filling with boiled potatoes, chickpeas, onions, and spices. 4. Make spiced water (pani) with tamarind chutney, mint chutney, and spices. 5. Crack open a puri, fill it with the potato mixture and spiced water. Serve immediately."
"Dahi Puri","https://www.example.com/dahi-puri.jpg","Veg","Snack",45,"Puris, Boiled Potatoes, Boiled Chickpeas, Chopped Onions, Fine Sev, Sweet Tamarind Chutney, Spicy Green Chutney, Yogurt, Chaat Masala, Red Chilli Powder, Roasted Cumin Powder, Black Salt, Chopped Coriander Leaves","1. Prepare the puri shells. You can use store-bought or make them at home. 2. Prepare the fillings: mashed boiled potatoes, boiled chickpeas, and finely chopped onions. 3. In a bowl, whisk the yogurt until smooth and creamy. 4. Assemble the dahi puris: Make a small hole in each puri. 5. Fill the puris with the potato-chickpea mixture. 6. Top with a generous dollop of whisked yogurt. 7. Drizzle sweet tamarind chutney and spicy green chutney over the yogurt. 8. Sprinkle sev, chaat masala, red chili powder, roasted cumin powder, black salt, and chopped coriander leaves on top. Serve immediately."
"Aloo Chaat","https://www.example.com/aloo-chaat.jpg","Veg","Snack",25,"Potatoes, Spices, Chutneys, Yogurt","1. Boil and dice potatoes. 2. Mix with spices and chutneys. 3. Top with yogurt and sev."
"Papdi Chaat","https://www.example.com/papdi-chaat.jpg","Veg","Snack",30,"Papdi, Potatoes, Chickpeas, Chutneys, Yogurt, Spices","1. Arrange papdi on a plate. 2. Top with potatoes, chickpeas, chutneys, and yogurt. 3. Sprinkle with spices and sev."
"Samosa Chaat","https://www.example.com/samosa-chaat.jpg","Veg","Snack",30,"Samosas, Chutneys, Yogurt, Spices, Sev","1. Crumble samosas. 2. Top with chutneys, yogurt, and spices. 3. Garnish with sev and onions."